ip.src;ip.dst;ipv6.src;ipv6.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;frame.len;tcp.len;udp.length;tcp.flags.syn;tcp.flags.ack;tcp.flags.fin;tcp.flags.reset;tcp.flags.push;tcp.flags.urg;tcp.flags.cwr;tcp.flags.ece
0;0;2800:3f0:4001:807::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;57944.0;0.0;0.0;3327.0;2029.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80a::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;42722.0;45419.0;0.0;42935.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80a::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;53732.0;0.0;0.0;2905.0;1951.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80a::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;53742.0;0.0;0.0;3077.0;1951.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80a::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;53752.0;0.0;0.0;7991.0;6337.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80b::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;34044.0;10711.0;0.0;9253.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:80b::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;48835.0;8603.0;0.0;7793.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:810::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;51761.0;8198.0;0.0;7442.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:810::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;48830.0;0.0;0.0;2991.0;1951.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:811::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;37334.0;8126.0;0.0;7262.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:811::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;60753.0;31424.0;0.0;29750.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:811::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;39910.0;0.0;0.0;2905.0;1951.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:812::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;50100.0;0.0;0.0;131900.0;122432.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:814::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;48662.0;34045.0;0.0;32209.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:814::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;59036.0;0.0;0.0;3327.0;2029.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:815::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;34370.0;21124.0;0.0;16426.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:815::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;51913.0;6006.0;0.0;5304.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:815::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;54509.0;7042.0;0.0;6286.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:815::200a;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;54938.0;0.0;0.0;3377.0;2079.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:817::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;0.0;0.0;443.0;56617.0;9577.0;0.0;8713.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;2800:3f0:4001:817::200e;2804:14d:4ca6:9cd0:7e0f:6dfb:dc1c:10dc;443.0;48608.0;0.0;0.0;3327.0;2029.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
